Periode,WHSEID,Storerkey,SKUGroup,Putawayzone,Descr,CBM Loc,Stock,% Utilization,Inbound,Outbound,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R1100A,R1100A,LIVING UPHOLSTERED,"5,886",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R1100I,R1100I,LIGHTING,170,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R1100J,R1100J,MATTRESS,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R1100M,R1100M,HOME TEXTILE,643,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,AREA 3
1 Jun 2026,WMWHSE10,HCI,R1100N,R1100N,HOME DECORE,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,AREA 3
1 Jun 2026,WMWHSE10,HCI,R1100O,R1100O,HOMEWARE,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,AREA 3
1 Jun 2026,WMWHSE10,HCI,R1100X,R1100X,NON MERCHANDISE,3,3,85.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,AREA 3
1 Jun 2026,WMWHSE10,HCI,R110AB,R110AB,HOME CLASSIC,"4,884",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,AREA 3
1 Jun 2026,WMWHSE10,HCI,R110AE,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,AREA 3
1 Jun 2026,WMWHSE10,HCI,R110AF,R110AF,BROWN GOODS,111,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,AREA 3
1 Jun 2026,WMWHSE10,HCI,R110AG,R110AG,WHITE GOODS,455,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,AREA 3
1 Jun 2026,WMWHSE10,HCI,R110AM,R110AM,CUSTOME FURNITURE,2,1,47.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,AREA 3
1 Jun 2026,WMWHSE10,HCI,R110AQ,R110AQ,SELMA,126,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,AREA 3
1 Jun 2026,WMWHSE10,HCI,R110BA,,,0,"6,973",0,15,7,,,,,,,,,,,,,,,,,,,,,,,,,AREA 3
1 Jun 2026,WMWHSE10,HCI,R110BB,R110BB,TABLE & CABINET,"10,059","1,109",11,25,0,,,,,,,,,,,,,,,,,,,,,,,,,AREA 3
1 Jun 2026,WMWHSE10,HCI,R110BC,,,0,"5,014",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110BD,R110BD,DINING,"2,737","1,856",67.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110BE,R110BE,KITCHEN,247,246,99.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110BF,R110BF,BEDROOM,"2,775","1,858",67,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110BG,R110BG,MATTRESS,"9,138","5,759",63,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110BH,,,0,119,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110BI,R110BI,KIDS SPACE,996,644,64.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110BJ,,,0,368,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110BK,,,0,977,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110BL,,,0,61,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110BM,R110BM,HOME ORGANIZER,541,499,92.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110BN,R110BN,HOMEWARE,364,124,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110BO,,,0,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110BP,R110BP,OFFICE,"2,839","1,468",51.7,8,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110BQ,R110BQ,OFFICE SEATING,"4,276","4,853",113.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110BR,R110BR,COMMERCIAL & BUSINESS,"6,248","4,106",65.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110CA,,,0,435,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110CB,R110CB,TEXTILE,428,3,0.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110CC,R110CC,KASUR,955,253,26.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110CD,R110CD,RUANG TAMU & PENYIMPANAN,449,115,25.6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110CE,R110CE,RUANG MAKAN & DAPUR,731,104,14.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110CF,R110CF,PERALATAN MAKAN & DAPUR,126,15,11.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110CG,R110CG,RUANG TIDUR,428,92,21.4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110CH,R110CH,PERLENGKAPAN RUMAH,428,17,3.9,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110CI,R110CI,RUANG KERJA & BELAJAR,"1,645",132,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110DA,R110DA,KELS - MAJOR DOMESTIC APPLIANCES,209,26,12.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110DB,R110DB,KELS - SMALL DOMESTIC APPLIANCES,212,27,12.9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110DC,R110DC,KELS - HEALTH CARE,202,97,48.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110DD,R110DD,KELS - BEAUTY CARE,232,1,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110EA,,,0,58,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110EF,,,0,800,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1 Jun 2026,WMWHSE10,HCI,R110EG,R110EG,SMALL DOMESTIC APPLIANCES,885,19,2.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R1100A,R1100A,LIVING UPHOLSTERED,"5,886",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R1100I,R1100I,LIGHTING,170,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R1100J,R1100J,MATTRESS,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R1100M,R1100M,HOME TEXTILE,643,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R1100N,R1100N,HOME DECORE,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R1100O,R1100O,HOMEWARE,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R1100X,R1100X,NON MERCHANDISE,3,3,83.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110AB,R110AB,HOME CLASSIC,"4,884",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110AE,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110AF,R110AF,BROWN GOODS,111,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110AG,R110AG,WHITE GOODS,455,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110AM,R110AM,CUSTOME FURNITURE,2,1,47.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110AQ,R110AQ,SELMA,126,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110BA,,,0,"6,975",0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110BB,R110BB,TABLE & CABINET,"10,059","1,132",11.3,0,4,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110BC,,,0,"4,956",0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110BD,R110BD,DINING,"2,737","1,828",66.8,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110BE,R110BE,KITCHEN,247,240,97.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110BF,R110BF,BEDROOM,"2,775","1,835",66.1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110BG,R110BG,MATTRESS,"9,138","5,739",62.8,0,7,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110BH,,,0,119,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110BI,R110BI,KIDS SPACE,996,637,64,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110BJ,,,0,364,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110BK,,,0,975,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110BL,,,0,63,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110BM,R110BM,HOME ORGANIZER,541,489,90.5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110BN,R110BN,HOMEWARE,364,124,34.1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110BO,,,0,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110BP,R110BP,OFFICE,"2,839","1,468",51.7,0,2,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110BQ,R110BQ,OFFICE SEATING,"4,276","4,818",112.7,0,4,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110BR,R110BR,COMMERCIAL & BUSINESS,"6,248","4,066",65.1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110CA,,,0,394,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110CB,R110CB,TEXTILE,428,3,0.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110CC,R110CC,KASUR,955,260,27.2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110CD,R110CD,RUANG TAMU & PENYIMPANAN,449,144,32.1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110CE,R110CE,RUANG MAKAN & DAPUR,731,96,13.2,0,5,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110CF,R110CF,PERALATAN MAKAN & DAPUR,126,15,11.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110CG,R110CG,RUANG TIDUR,428,107,24.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110CH,R110CH,PERLENGKAPAN RUMAH,428,19,4.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110CI,R110CI,RUANG KERJA & BELAJAR,"1,645",131,8,0,2,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110DA,R110DA,KELS - MAJOR DOMESTIC APPLIANCES,209,27,12.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110DB,R110DB,KELS - SMALL DOMESTIC APPLIANCES,212,30,14.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110DC,R110DC,KELS - HEALTH CARE,202,105,52.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110DD,R110DD,KELS - BEAUTY CARE,232,1,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110EA,,,0,60,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110EF,,,0,789,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
2 Jun 2026,WMWHSE10,HCI,R110EG,R110EG,SMALL DOMESTIC APPLIANCES,885,17,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
3 Jun 2026,WMWHSE10,HCI,R1100A,R1100A,LIVING UPHOLSTERED,"5,886",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
3 Jun 2026,WMWHSE10,HCI,R1100I,R1100I,LIGHTING,170,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
3 Jun 2026,WMWHSE10,HCI,R1100J,R1100J,MATTRESS,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
3 Jun 2026,WMWHSE10,HCI,R1100M,R1100M,HOME TEXTILE,643,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
3 Jun 2026,WMWHSE10,HCI,R1100N,R1100N,HOME DECORE,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
3 Jun 2026,WMWHSE10,HCI,R1100O,R1100O,HOMEWARE,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
3 Jun 2026,WMWHSE10,HCI,R1100X,R1100X,NON MERCHANDISE,3,3,83.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
3 Jun 2026,WMWHSE10,HCI,R110AB,R110AB,HOME CLASSIC,"4,884",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
3 Jun 2026,WMWHSE10,HCI,R110AE,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
3 Jun 2026,WMWHSE10,HCI,R110AF,R110AF,BROWN GOODS,111,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
3 Jun 2026,WMWHSE10,HCI,R110AG,R110AG,WHITE GOODS,455,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
3 Jun 2026,WMWHSE10,HCI,R110AM,R110AM,CUSTOME FURNITURE,2,1,47.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
3 Jun 2026,WMWHSE10,HCI,R110AQ,R110AQ,SELMA,126,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
3 Jun 2026,WMWHSE10,HCI,R110BA,,,0,"6,865",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
